country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,57364,2529,52005,2830,1124,1448,64,371724,9385,39607351
Albania,Europe,128518,2321,98269,27928,18,44697,807,585329,203569,2875341
Algeria,Africa,118645,3134,82704,32807,14,2668,70,230861,5192,44465491
Andorra,Europe,12581,121,11890,570,12,162625,1564,193595,2502456,77362
Angola,Africa,23549,554,22093,902,15,700,16,443086,13165,33655110
Anguilla,North America,25,,22,3,,1655,,14579,965049,15107
Antigua And Barbuda,North America,1198,30,938,230,45,12155,304,16493,167338,98561
Argentina,South America,2551999,57957,2247124,246918,3819,56065,1273,9655684,212125,45518759
Armenia,Asia,203327,3753,182836,16738,,68516,1265,906177,305360,2967568
Aruba,North America,10076,92,9468,516,14,94063,859,136656,1275728,107120
Australia,Australia/Oceania,29426,910,26361,2155,,1144,35,16161532,628118,25730082
Austria,Europe,578950,9706,538609,30635,611,63997,1073,26848583,2967852,9046471
Azerbaijan,Asia,287144,3944,251760,31440,,28123,386,3026132,296379,10210354
Bahamas,North America,9460,190,8865,405,4,23879,480,80573,203380,396170
Bahrain,Asia,157729,562,145953,11214,85,90279,322,3798472,2174112,1747137
Bangladesh,Asia,691957,9822,581113,101022,,4169,59,5037833,30354,165966798
Barbados,North America,3734,44,3613,77,,12981,153,146355,508795,287650
Belarus,Europe,336881,2363,327087,7431,,35661,250,5563117,588883,9446894
Belgium,Europe,927229,23503,59873,843853,899,79734,2021,11723475,1008126,11628975
Belize,North America,12503,318,12134,51,1,31007,789,106371,263798,403229
Benin,Africa,7515,93,6452,970,35,608,8,548484,44344,12368739
Bermuda,North America,1891,16,998,877,36,30452,258,217688,3505556,62098
Bhutan,Asia,921,1,875,45,,1183,1,652722,838737,778220
Bolivia,South America,283084,12469,232422,38193,71,23997,1057,999531,84729,11796807
Bosnia And Herzegovina,Europe,184698,7487,141602,35609,,56572,2293,846536,259289,3264840
Botswana,Africa,43444,663,38923,3858,1,18189,278,958802,401435,2388438
Brazil,South America,13521409,355031,11957068,1209310,8318,63262,1661,28600000,133809,213737070
British Virgin Islands,North America,178,1,159,18,,5858,33,13223,435139,30388
Brunei Darussalam,Asia,219,3,206,10,,497,7,116596,264545,440741
Bulgaria,Europe,375115,14619,289356,71140,776,54306,2116,2287726,331196,6907472
Burkina Faso,Africa,12989,153,12627,209,,608,7,175352,8215,21346254
Burundi,Africa,3154,6,773,2375,,259,,90019,7400,12164194
Cabo Verde,Africa,19110,184,17399,1527,23,34083,328,136977,244302,560687
Cambodia,Asia,4696,33,2252,2411,,278,2,782811,46323,16898828
Cameroon,Africa,61731,919,56926,3886,385,2282,34,1257949,46492,27057111
Canada,North America,1071016,23356,972525,75135,928,28185,615,29142269,766904,37999909
